,GEOID,StateName,CountyName,TractName,ALAND,AWATER,N_Adders,IRA_ec,Brownfield,IRA_LIC_C1,IRA_LIC_TL,HUD_Count,IRA_LIC_AS,IRA_CEJST,Com_npv_map,NPV_com_na,NPV_com_st,NPV_com_m,PB_com_na,PB_com_m,Res_npv_map,NPV_res_na,NPV_res_st,NPV_res_m,PB_res_na,PB_res_m,Total_Pop,P_Hispanic,P_nh_Black,P_nh_White,P_nh_Asian,P_nh_Native,P_nh_Other,Median_inc,P_Poverty,P_OwnerOcc,SVI,GOV1_count,GOV1_kW_ca,GOV1_kWh_p,GOV2_count,GOV2_kW_ca,GOV2_kWh_p,EDU1_count,EDU1_kW_ca,EDU1_kWh_p,EDU2_count,EDU2_kW_ca,EDU2_kWh_p
202,9110503101, Connecticut, Capitol Planning Region,Census Tract 5031.01,312268,0,1,0,1,100,0,1,100,100,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,1690,53.2,30.53,14.97,0,0,1.3,32116,27.3,17,96.1,2,26,32119,0,0,0,6,1114,1366675,0,0,0
203,9140405401, Connecticut, Naugatuck Valley Planning Region,Census Tract 4054.01,3790820,9933,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,2940,5.95,0.34,89.46,0.54,0,3.71,104508,3.7,89.6,14.9,5,10,13294,0,0,0,1,59,73559,0,0,0
204,9190030300, Connecticut, Western Connecticut Planning Region,Census Tract 303,8427195,5570784,1,100,1,0,0,1,0,0,Middle third,44,2,8823.047,70,15.967,Upper third,95,4,7913.296,9,9.224,4551,7.65,1.67,84.53,3.63,0,2.53,"250,000+",4.8,91.3,4.3,12,525,644865,1,47,58045,6,152,186964,0,0,0
205,9190210702, Connecticut, Western Connecticut Planning Region,Census Tract 2107.02,1307752,0,2,100,1,100,0,1,0,100,Middle third,44,2,8823.047,70,15.967,Upper third,95,4,7913.296,9,9.224,4203,38.45,5.23,38.21,6.88,0,11.23,68750,11.2,51.2,68.9,2,16,19646,1,0,0,0,0,0,0,0,0
206,9190210701, Connecticut, Western Connecticut Planning Region,Census Tract 2107.01,1247002,0,2,100,1,100,0,1,0,100,Middle third,44,2,8823.047,70,15.967,Upper third,95,4,7913.296,9,9.224,6403,52.18,13.52,24.64,0.83,0,8.82,55711,23.1,37.4,94.6,17,722,886086,1,10,13085,2,261,321255,0,0,0
207,9170142604, Connecticut, South Central Connecticut Planning Region,Census Tract 1426.04,1524437,88900,1,0,1,100,0,1,0,0.28,Middle third,51,4,13815.777,53,13.983,Upper third,93,2,5420.8,10,9.374,3240,46.94,21.39,30.65,0,0,1.02,85061,20.5,77.8,77.3,12,320,392815,0,0,0,2,189,232513,0,0,0
208,9170361401, Connecticut, South Central Connecticut Planning Region,Census Tract 3614.01,425902,0,1,0,1,100,0,1,0,0.26,Middle third,51,4,13815.777,53,13.983,Upper third,93,2,5420.8,10,9.374,4064,13.63,7.55,52.39,19.73,0.02,6.67,44954,31.2,10.9,37.9,1,34,42151,0,0,0,6,2327,2854053,0,0,0
209,9110460100, Connecticut, Capitol Planning Region,Census Tract 4601,9879911,629579,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,3048,1.64,8.04,71.19,14.83,0.39,3.9,126250,5.6,85.3,20.7,2,160,196972,0,0,0,4,1464,1795903,4,300,368717
210,9120257200, Connecticut, Greater Bridgeport Planning Region,Census Tract 2572,1537836,39122,2,100,6,100,0,1,100,100,Middle third,44,2,8823.047,70,15.967,Upper third,95,4,7913.296,9,9.224,4626,39.52,22.48,30.83,2.75,0,4.43,55129,23.3,25.1,94.1,26,3955,4851344,1,22,27925,1,260,319146,0,0,0
211,9140405402, Connecticut, Naugatuck Valley Planning Region,Census Tract 4054.02,4577504,34612,1,0,1,100,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,3981,8.19,7.28,73.32,9.65,0,1.56,59700,5.9,58.5,47,11,1015,1245078,1,60,74319,1,181,222751,0,0,0
212,9110524502, Connecticut, Capitol Planning Region,Census Tract 5245.02,1705657,0,1,0,2,100,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,1990,17.89,18.04,57.14,1.76,0.25,4.92,,16,39.8,64.1,4,47,58020,0,0,0,3,354,434709,0,0,0
213,9110524200, Connecticut, Capitol Planning Region,Census Tract 5242,11573262,44907,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,6938,6.93,5.16,78.09,6.93,0.37,2.51,99004,6.2,74.2,41,23,2658,3260065,0,0,0,5,2313,2837129,0,0,0
214,9110460203, Connecticut, Capitol Planning Region,Census Tract 4602.03,11951170,1034715,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,3724,12.7,5.48,63.91,15.49,0,2.42,130792,2.6,53.5,31,1,104,127557,0,0,0,3,450,552505,0,0,0
215,9110487201, Connecticut, Capitol Planning Region,Census Tract 4872.01,7338156,1414,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,4678,9.96,2.01,79.22,5.28,0,3.53,135022,5.5,79.8,22,13,772,947406,1,54,67206,3,360,441724,0,0,0
216,9110487202, Connecticut, Capitol Planning Region,Census Tract 4872.02,5718114,12416,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,3314,2.72,2.6,74.68,15.15,0,4.86,216429,2.6,97.7,1.4,9,384,471317,0,0,0,2,318,390326,0,0,0
217,9110514101, Connecticut, Capitol Planning Region,Census Tract 5141.01,4398552,15049,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,3143,9.51,6.43,69.84,12.03,0,2.2,131023,10.6,92.9,39.6,14,20,25680,0,0,0,0,0,0,0,0,0
218,9110520302, Connecticut, Capitol Planning Region,Census Tract 5203.02,8080988,527685,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,4587,9.48,1.48,71.05,14.85,1.68,1.46,79103,8.9,56,43.4,41,1670,2048308,3,140,171867,12,1720,2110609,0,0,0
219,9110520301, Connecticut, Capitol Planning Region,Census Tract 5203.01,7401559,0,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,4719,13.6,7.33,65.76,9.05,0,4.26,107771,8.2,62.5,16.2,16,310,381361,1,0,0,5,227,279606,0,0,0
220,9110524300, Connecticut, Capitol Planning Region,Census Tract 5243,13245555,243879,0,0,1,0,0,1,0,0,Middle third,45,3,9661.516,63,15.317,Upper third,89,0,3823.465,11,10.327,4913,12.86,14.39,68.51,2.44,0.45,1.34,103051,3.3,79.3,31.4,4,564,692032,1,66,81187,6,590,724348,0,0,0
